书名,作者,译者,出版单位,出版时间,定价,豆瓣评分,评价人数,短评
孽子,白先勇 ,, 广西师范大学出版社 , 2010.10 , 46.00元,9.1,17438人评价,写给那一群， 在最深最深的黑夜里， 独自彷徨街头， 无所依归的孩子们
献给阿尔吉侬的花束,[美] 丹尼尔·凯斯 , 陈澄和 , 广西师范大学出版社 , 2015-4 , 36.00元,9.1,18842人评价,当声称能改造智能的科学实验选中心智障碍主角
孩子你慢慢来,龙应台 ,, 生活·读书·新知三联书店 , 2009-12-1 , 28.00元,8.7,64584人评价,我们现在怎样做母亲
史蒂夫·乔布斯传,[美] 沃尔特·艾萨克森 , 管延圻 , 中信出版社 , 2011-10-24 , 68.00元,8.7,48903人评价,完美主义者的最高形态
十万个为什么,少年儿童出版社 ,, 1962 , 30.00元,,9.1,10713人评价,
离开的，留下的,[意] 埃莱娜·费兰特 , 陈英 , 人民文学出版社 , 2017-10 , 62.00,8.7,37269人评价,探索中年的虚无、困惑、野心和近乎残暴的爱
國史大綱（上下）,錢穆 ,, 商務印書館 , 2013-8 , 76.00元,9.3,12457人评价,钱穆中国通史
苏菲的世界,[挪] 乔斯坦·贾德 , 萧宝森 , 作家出版社 , 2007-10 , 26.00元,8.8,40426人评价,哲学启蒙书
爱的艺术,[美] 艾·弗洛姆 , 李健鸣 , 上海译文出版社 , 2008-4 , 15.00元,8.8,30345人评价,谦恭地、勇敢地、真诚地和有纪律地爱他人
昨日的世界,[奥] 斯蒂芬·茨威格 , 舒昌善 , 广西师范大学出版社 , 2004-5-1 , 32.00元,9.2,10434人评价,一个高贵而残破的昨日镜像
万水千山走遍,三毛 ,, 哈尔滨出版社 , 2003-08 , 13.80,8.8,35929人评价,从遥远的撒哈拉到敦煌戈壁
经济学原理（上下）,[美] 曼昆 , 梁小民 , 机械工业出版社 , 2003-8 , 88.00元,9.1,16256人评价,经济学家们的世界观
我也有一个梦想,林达 ,, 生活·读书·新知三联书店 , 2004-08 , 25.00元,9.0,13338人评价,在法治国家里，民众怎样运用法律
九州·缥缈录,江南 ,, 人民文学出版社 , 2015-10 , 198.00元,8.8,4879人评价,一轴腥风血雨的乱世长卷，中国版《冰与火之歌》
送你一颗子弹,刘瑜 ,, 上海三联书店 , 2010-1 , 25.00元,8.6,128507人评价,在这本书里，被“审视”的东西杂七杂八
浮生六记,（清）沈复 ,, 人民文学出版社 , 1999-1 , 5.70元,8.8,48521人评价,苟不记之笔墨，未免有辜彼苍之厚
绿毛水怪,王小波 ,, 时代文艺出版社 , 2009-1 , 30.00元,9.0,16085人评价,我们好象在池塘的水底，从一个月亮走向另一个月亮
不能承受的生命之轻,米兰·昆德拉 , 许钧 , 上海译文出版社 , 2010-8 , 29.00元,8.8,34387人评价,
情书,[日] 岩井俊二 , 穆晓芳 , 天津人民出版社 , 2004-7 , 18.00元,8.6,88315人评价,一场同名同姓的误会，两段可贵的爱情
球状闪电,刘慈欣 ,, 四川科学技术出版社 , 2005-6 , 22.00元,8.7,55821人评价,量子之外，没有真相
倾城之恋,张爱玲 ,, 北京十月文艺出版社 , 2006-12 , 29.80元,8.7,39753人评价,“一对平凡的夫妻”之间的“一点真心”
